rank	word	zipf
1	the	7.73
2	to	7.43
3	and	7.41
4	of	7.4
5	a	7.36
6	in	7.27
7	i	7.09
8	is	7.07
9	for	7.01
10	that	7.01
11	you	6.98
12	it	6.95
13	on	6.91
14	with	6.85
15	this	6.82
16	was	6.82
17	be	6.79
18	as	6.77
19	are	6.74
20	have	6.71
21	at	6.7
22	he	6.69
23	not	6.69
24	by	6.66
25	but	6.63
26	from	6.63
27	my	6.57
28	or	6.54
29	we	6.54
30	an	6.53
31	your	6.53
32	all	6.52
33	so	6.52
34	his	6.51
35	they	6.5
36	me	6.48
37	if	6.47
38	one	6.47
39	can	6.46
40	will	6.45
41	just	6.43
42	like	6.41
43	about	6.4
44	up	6.39
45	out	6.38
46	what	6.38
47	has	6.37
48	when	6.37
49	more	6.36
50	do	6.35
51	no	6.35
52	were	6.34
53	who	6.34
54	had	6.33
55	it's	6.33
56	their	6.33
57	there	6.31
58	her	6.3
59	which	6.3
60	time	6.29
61	get	6.28
62	been	6.27
63	would	6.27
64	she	6.26
65	new	6.25
66	people	6.25
67	how	6.24
68	don't	6.2
69	some	6.2
70	also	6.19
71	them	6.19
72	now	6.18
73	other	6.16
74	i'm	6.15
75	its	6.14
76	our	6.14
77	than	6.13
78	good	6.12
79	only	6.12
80	after	6.11
81	first	6.11
82	him	6.11
83	into	6.11
84	know	6.1
85	see	6.1
86	two	6.1
87	make	6.08
88	over	6.08
89	think	6.08
90	any	6.07
91	then	6.07
92	could	6.06
93	back	6.04
94	these	6.04
95	us	6.04
96	want	6.04
97	because	6.03
98	go	6.03
99	well	6.03
100	said	6.01
101	way	6.01
102	1	6.0
103	2	6.0
104	most	6.0
105	much	6.0
106	very	6.0
107	where	6.0
108	even	5.99
109	should	5.99
110	may	5.98
111	here	5.97
112	need	5.97
113	really	5.97
114	did	5.96
115	right	5.96
116	work	5.96
117	year	5.96
118	years	5.96
119	being	5.95
120	day	5.95
121	too	5.95
122	going	5.94
123	before	5.93
124	off	5.93
125	why	5.93
126	made	5.92
127	still	5.92
128	take	5.92
129	3	5.91
130	got	5.91
131	many	5.91
132	never	5.91
133	those	5.9
134	life	5.89
135	say	5.89
136	world	5.89
137	down	5.88
138	great	5.88
139	through	5.87
140	you're	5.87
141	last	5.86
142	s	5.86
143	that's	5.86
144	while	5.86
145	best	5.84
146	such	5.84
147	love	5.82
148	man	5.82
149	home	5.81
150	long	5.81
151	look	5.81
152	something	5.81
153	use	5.81
154	can't	5.8
155	same	5.8
156	used	5.8
157	both	5.79
158	every	5.79
159	4	5.78
160	am	5.78
161	come	5.78
162	part	5.78
163	state	5.78
164	three	5.78
165	around	5.77
166	between	5.77
167	always	5.76
168	better	5.76
169	find	5.76
170	5	5.75
171	help	5.75
172	high	5.75
173	little	5.75
174	old	5.75
175	since	5.75
176	another	5.74
177	does	5.74
178	own	5.74
179	things	5.74
180	under	5.73
181	during	5.72
